title,prediction
WW-I,0.6000064936097121
Eberhard IV of Württemberg,0.6000111366910714
Albert Battel,0.6000196624316644
Galactan 5-O-arabinofuranosyltransferase,0.6000227131287592
Gbagada General Hospital,0.600028187980739
Vargulin,0.6000352538546002
DJ Tandu,0.6000368519270107
Carbon nanotube filament,0.6000396322260598
Jimmie Yeiser,0.6000439979039346
John A. Searing,0.6000471712946017
Minisatellite DNA,0.6000478019106805
2DNMR,0.6000516663014273
Imaginaries,0.6000591674928109
Christopher I. Chalokwu,0.6000604088061315
Kondopoga riots,0.6000643866147755
Potlatch Riots,0.6000643866147755
Kondopoga riot,0.6000643866147755
Cyanin,0.6000671323829236
List of Industrial Workers of the World unions,0.6000686406588578
Boleslaw IV the Curly,0.6000697764116943
Grzegorz IV Radziwill,0.6000697764116943
Principality of Regensburg,0.6000737573574368
Gibberellin beta-D-glucosyltransferase,0.600079713934699
Greyhound therapy,0.6000803759126385
List of piping standards,0.6000811402669701
PMSF,0.6000820875778835
Benjamin M. Bitanga,0.6000825711207259
10th Royal Tank Regiment,0.6000857845921925
Farooq Khan,0.6000948476699536
Random walk Monte Carlo,0.6000959295542035
Renilla-luciferin sulfotransferase,0.6001010076722246
Francisco Hernández García,0.6001095159709983
Ppvf,0.6001108993315586
Julian Brind,0.6001168443773057
Carl Lundh,0.6001242767021528
Indoleacetylglucose—inositol O-acyltransferase,0.6001286538340421
"Two Rock, CA",0.600128741119006
Adjutant general,0.600133143239973
Soap making,0.6001337362609076
Methamphetamines,0.6001369837903329
Fritz Andersen,0.6001381487324265
Relational consistency,0.6001385141624695
Heinz Günther Guderian,0.6001456140114259
105th Brigade (United Kingdom),0.600151184602796
"UAW v. Johnson Controls, Inc.",0.6001550098401086
Franciszek Przysiężniak,0.6001615575268198
Day's Beverages,0.6001654068949563
Issa Ba,0.6001740056540714
WFDC1,0.6001784735737035
Bedřich Reicin,0.6001815722406877
Materials Research Database,0.6001830550687102
Lychee wine,0.6001840826331367
Nirmal Kumar Singh,0.6001846546178656
Zapus hudsonius,0.6001866945211521
Kamlashankar Trivedi,0.6001873304420446
Telithromycin,0.6001949519388313
Henry A. Hammel,0.600200871785073
White petrolatum,0.6002021354565283
NS group,0.6002025114514283
Microneedle,0.6002050119807534
Advanced composite materials,0.6002066982338856
7th Army (RSFSR),0.6002189025402318
The Apollo Affair,0.600219458930681
Contraviesa-Alpujarra,0.6002206353053334
Svetozar Mihajlović,0.6002321509763832
Alanopine dehydrogenase,0.6002327649593356
Johannes Vetter,0.6002376834276845
List of Superfund sites in Maine,0.6002401899948752
SLC25A10,0.6002420653649073
Tvishi,0.6002432769793141
Napareuli,0.6002432769793141
Nadolol,0.600244052766872
Kamuli Sugar Limited,0.6002442451553816
Valentin Sviridov,0.6002447627530616
Realization Time,0.6002465706818378
13th Division (Syrian rebel group),0.6002514097668052
Membrane-type matrix metalloproteinase-1,0.6002582964554067
Albert Burgess,0.6002663813587946
Bf2142,0.6002666525739275
Battlefield: 2142,0.6002666525739275
Mallotojaponin B,0.6002677387036001
Non anion gap acidosis,0.600268009263387
National economies,0.6002771098788501
Kesikköprü mine,0.6002775470172126
Zamloch the Great,0.6002792944947872
FDA Preemption,0.6002864338370926
Charles Deedes,0.6002872320022287
Fluctuation X-ray scattering,0.6002893759049326
Timeline of the Mexican Drug War,0.6002913777825339
Bjørn Lofterød,0.6002936808494735
C13H12O2,0.6002985450591865
Edythe D. London,0.6003005137494581
Benjamin F. Jonas,0.6003033625167615
Groupement des commandos parachutistes,0.6003050493664154
Groupe des Dombes,0.6003050493664154
Pew Research,0.6003070000411851
American Pharmacists Association,0.6003089923353484
Penochalasin A,0.6003090162531879
Toru Toyoda,0.6003217626547043
Yoshihiro Inoue,0.6003217626547043
Yokoyama Masato,0.6003217626547043
Masato Yokoyama,0.6003217626547043
Zhurnal Fizicheskoi Khimii,0.6003228362829458
Sergey Mitrokhin,0.6003309244153299
János Uzsoki,0.6003344016638262
Police states,0.6003350858234751
"Ash Sharqiyah, Hadhramaut",0.6003365386741191
