title,prediction
"Syd James (footballer, born 1898)",0.20000013806959846
Teemu Rannikko,0.20000058304249013
1962 CONCACAF Youth Tournament,0.2000006092201211
Daniel Sandford (bishop of Edinburgh),0.2000012836720251
Al Dekdebrun,0.2000015499812658
John W. Howe (bishop),0.20000170012250665
Higashiosaka College,0.20000222032435275
Om Prakash Sakhlecha,0.20000251743948388
Table tennis at the 2006 Asian Games – Men's doubles,0.20000277811461123
Richard Abrahamson,0.2000038444068033
Pemberton Township High School,0.20000393673101388
Mohd Shoaib Hassan,0.2000043914336094
Robert L. Bergman,0.20000453912935867
L. W. Higgins High School,0.20000586735593998
Journal of Teacher Education,0.20000719089311522
1984 African Cup of Nations,0.20000778725181692
Zac Fisher,0.20000784689861917
Norm Raines,0.2000084805947589
Mahatma Montessori Matriculation Higher Secondary School,0.20000856335238265
Carlos Bacca,0.20000859688731687
Irving Davidson,0.20001002970072132
2013–14 Portsmouth F.C. season,0.20001017637438853
James Greechan,0.20001108735986595
SMART Information Retrieval System,0.20001155497233788
Left module,0.2000118625414634
Wheelchair basketball at the 2016 Summer Paralympics – Women's team rosters,0.20001201762303059
Syd Smith (Australian rules footballer),0.20001239755543282
Guido Guerrieri,0.20001421914187734
K. D. Udayakumar,0.20001451802131354
Joshua Abrams (football),0.2000146827388538
Zhang Shubin,0.20001632415334558
"Leighton Seager, 1st Baron Leighton of St Mellons",0.2000170746540351
Suffolk county cricket teams,0.2000176598877017
Nasser Nouraei,0.20001862004636134
Neil Weber,0.20001873979014395
William Cummins,0.20001928674886096
Tommy Taylor,0.2000198910335956
RUHS,0.20002010368244816
Mamadi Sangare,0.20002113370009944
Mohamed Bamba,0.20002158170183187
"Jersey by-election, 2016",0.20002166507625424
1968–69 Rheinlandliga,0.2000218042990366
"Careca (footballer, born 1983)",0.20002560231540784
José Jardim,0.20002587178346787
Francisco Delgado López (bishop),0.20002621627414274
2017 BEC Tero Sasana F.C. season,0.20002879227554754
Henry Scudamore-Stanhope,0.20002884858936132
Kakasa Ka Ba sa Grade 5?,0.20002903908550243
Adam Konar,0.20002924354968313
Amos Marsh,0.20003014723939974
Mike Tobey,0.20003023292260066
Bram van Eijk,0.2000309971207765
Stock and flow,0.20003154418078392
Decision variant,0.20003159443718446
Ken Hallowes,0.2000318974824121
Vladimir Shpyryov,0.20003267725694376
Dancesport at the World Games,0.2000330633856903
Hato Paora College,0.20003320270089234
John MacEachern,0.2000332433392753
Nicaragua national baseball team,0.20003344871367218
Fuzion Frenzy 2,0.20003416348109912
Lindsay Gardner (disambiguation),0.20003476001403728
Paul Hoernemann,0.2000355050679173
Stephen E. Weiss,0.20003569902588134
Harold Hardman,0.20003611671831772
"Bangladeshi general election, 1979",0.20003847999314717
Jamie Cureton,0.20003856949280477
Justin Simmons (baseball),0.20003930030891592
Tomás Bellas,0.20003975605085314
Günter Kutowski,0.20004075022930834
St. Therese's School,0.2000412691358405
John F. Follett,0.20004176616324118
Borja Blanco Gil,0.20004178464049957
Sergei Gaiduchenko,0.20004187553469338
Kelechi,0.20004204947819287
Anthony Mayney,0.20004297703896598
Number 222,0.20004414456450886
Koji Bonishi,0.20004465729356805
Saint-Gall Cantatorium,0.20004577845979293
Jorge Cadete,0.20004603731606546
Robert Lloyd (of Rhiwgoch),0.20004678413378768
Tokyo Bowl,0.20004697341812924
Semantic matching,0.20004787746752842
LCF,0.20004869356703278
List of schools of international relations in the United States,0.20004950055041482
Francisco Callejón Segura,0.20004973440768026
2016–17 Charlton Athletic F.C. season,0.20004996330530223
1882 Colorado College Tigers football team,0.20005171216396683
Hugh Swann,0.20005221137866147
Daniel Webster Hering,0.20005255425189458
Balto-Slavo-Germanic,0.20005298929602494
Mustafa Güngör,0.20005325418268402
Joseph Diggle,0.2000539245778124
Irv Frew,0.2000539475636006
Masaki Tanaka,0.2000543586379535
"Fougeré, Vendée",0.20005437334329582
Waheeda Akhtar,0.20005469584859273
Archimedes (disambiguation),0.20005548815936994
Pariah group,0.20005617623438765
1917–18 Ottawa Senators season,0.20005666709885903
Queen's County (UK Parliament constituency),0.2000578476063687
Luciano Panetti,0.20005825132876554
Neal Martin,0.20006006882861802
Brad Smyth,0.2000602768626424
Divergent sequence,0.20006073842184008
1935–36 British Home Championship,0.20006078126510754
Richard Horne (MP),0.20006079950114433
Cassius M. Shartel,0.20006176564991318
John Caird (theologian),0.20006270444174443
Fred Cole (footballer),0.2000648932349283
Chloroclystis thermastobrita,0.20006500795430718
1974 Jordan League,0.20006502571250268
Georgios Efrem,0.20006757576793333
1986–87 American Indoor Soccer Association season,0.20006801476555194
Aelius Theon,0.20006827196985205
Charter schools in New York,0.20006871347115004
Nicholas Gould,0.20007085688340454
2017–18 Oxford United F.C. season,0.2000713378928123
"St lwanga Catholic School, Malakal",0.20007153802718788
Golf etiquette,0.20007191884041325
Hiroto Goya,0.20007215478739154
Jørgen Løvland,0.20007219631450865
Walter Stratton,0.20007444391490545
Oliver High School,0.20007479355081742
Paul Davenport,0.20007548203939632
"Jock Lineen (footballer, born 1890)",0.20007557741268248
William Ian Miller,0.20007640507082622
1932 Toronto Argonauts season,0.20007678153845276
Cherie Ditcham,0.20007687485373338
Colby Burnett,0.2000769963246142
Playfair (lunar crater),0.20007708139673475
Poljane Grammar School,0.20007793842206512
Under Armour All-America Baseball Game,0.20007919457181247
"Morningside, Northland",0.20007954153109975
Mannar Electoral District,0.2000802023448396
Duplicity (law),0.20008070883046108
Joe Gasparella,0.20008105937217135
2016 Championship League,0.20008146554759354
Ginger Howard,0.2000831432442199
1998 Sacramento State Hornets football team,0.200083302468754
Daniel Hamilton,0.20008432234442786
Michael Szymanczyk,0.2000843293854321
Filipe Godinho,0.20008546941223468
Comparison of programming languages (syntax),0.20008706159693046
J. P. Hayes,0.20008706588098524
Pareto,0.20008890546365693
Snowboarding at the 1998 Winter Olympics,0.2000889150715372
Volleyball at the Central American and Caribbean Games,0.20008897637109618
Brent Rooker,0.2000890605806478
Rafa Navarro,0.20009026384645218
Andrea Zanchetta,0.20009030105576317
Aleksei Korobeynikov,0.20009077696681865
Jeff Fonda,0.20009134005024987
Cardinal Vicar General for the City of Rome,0.20009188053609628
Boetharius,0.20009224271712037
Simen Auseth,0.20009286200005416
Jack Hewson,0.2000930611619518
Reflexivity,0.20009308173451518
Jørn Rattsø,0.200093573821946
Ali Haji-Sheikh,0.20009397323447636
Justin Hardee,0.20009448619281414
Andrew Bain,0.20009498500542425
2003 NCAA National Collegiate Women's Ice Hockey Tournament,0.20009511350103892
