title,prediction
Cornerstone Speech,0.5500008672084135
Vernon Benjamin Mountcastle,0.5500018443472288
Keith Harper (lawyer),0.5500018511636896
Norman Shanks,0.5500119341163257
Konrad Henlein,0.5500123473434241
Primacy of mind,0.5500146718540944
Rudolph Goclenius,0.5500188851641598
Seisetsu Shōchō,0.5500410638390416
Role homogeneity,0.5500411662752178
Oomoto,0.5500423107764423
John Preston Young,0.5500458428300666
The Succession to Muhammad,0.5500501144777521
Enrique Martínez (politician),0.5500511332462393
Robb Kahl,0.5500612213008511
Revolutionary republic,0.5500641187276728
Bruce McEwen,0.5500773864835395
Judiciary of Angola,0.5500927433048978
Chagossian creole,0.5500930404608307
Barnburners and Hunkers,0.5500935131881852
Law of Pakistan,0.55010449358599
Impoundment of appropriated funds,0.5501045074966093
"Armstrong, Howard",0.5501151590277794
Child Lying,0.5501183395917232
Roger Wolcott Sperry,0.5501220761874751
Charles Sitgreaves,0.5501330423021951
Patrick Woolley,0.5501410866460114
Natural slavery,0.5501430058135168
Richard Barton (disambiguation),0.5501452160389383
John Hugh Crimmins,0.5501495934894387
Leon Louw,0.550152340044564
John V. Van Sickle,0.5501540172625062
Othmar Spann,0.5501559958190325
Andrew Jackson Barchfeld,0.550159539643386
Erich Adickes,0.5501696825997041
Cantenay-Épinard,0.5501812446296384
Laity,0.5501817231473914
Burks v. United States,0.5501903090936511
Department of Justice (Hong Kong),0.550191992522841
Parmarth Niketan,0.5501959213998158
Michael K. Randolph,0.5502012342224302
More danico,0.5502014315974174
Charles Volpe,0.5502030493753105
Howard Baskerville,0.5502180133334954
Rashnu,0.550223183935424
Þorsteinn Erlingsson,0.5502289539591173
Đinh Xuân Quảng,0.5502294136995761
"Haldane, William",0.5502412734814114
Qing literati,0.5502426792202522
Robert Allen Grant,0.5502469586716475
Pardis Mahdavi,0.5502471806221036
Froma Zeitlin,0.5502479375868494
Gerhard Lohfink,0.550251901134469
Ling Rinpoche,0.5502533497996718
The Machine Question,0.5502580091751085
Steve Kons,0.5502617096270984
Henry Thomas Rainey,0.5502718097334749
Joseph Flores (Maltese politician),0.5502744972350552
Andrew Russell (academic),0.5502781731314026
Waggag ibn Zallu al-Lamti,0.5502787150682948
Lanfranco Ricci,0.5502892545801574
Bremer Tabak Collegium,0.5502951122365158
José Luis Aguilera Rico,0.5502953575448012
"Feminism in Germany, The Emergence of the Second Wave",0.55029987992701
George Ashby (martyr),0.550301063861252
William Durland,0.5503142560406884
"Drain, Maine-et-Loire",0.5503161975841332
"Spencer, Nick",0.550321562735557
Harold Frost (bowls),0.5503303831654186
Mollie Steimer,0.5503309871035443
Graduate Institute of International and Development Studies,0.5503350476000657
Gubkin (surname),0.550339813477961
James Francis Miller,0.5503398458877504
Oriana Bandiera,0.5503533150506635
Milton Polin,0.5503588834680474
Nabiullin,0.5503621813588343
The Oxford Institute for Economic Policy,0.5503730477241361
James Keegstra,0.5503734338705648
The Future of Socialism,0.5503756363317754
John Chew Thomas,0.550391020842827
Serpents in mythology,0.5503916146465472
Arturo Sosa,0.5503948534722741
Nicolaas Adrianus Rupke,0.5503992370695919
David De Cremer,0.5504022540426959
Gabriel Salazar,0.5504066756241717
José Antonio Nebra Mezquita,0.5504129621237502
Gerald A. Larue,0.5504181980025773
Henri Vaugeois,0.5504189735026782
Communes of the Bouches-du-Rhône department,0.5504192827707758
William I. Schaffer,0.5504195322871861
Foreign policy of George W. Bush,0.5504274343480847
Science of value,0.5504284997498634
Tursunbai Bakir Uulu,0.5504375589059547
William T. Gormley,0.5504378823906005
Donald Finnemore,0.5504500753228518
Francisco Soberón,0.5504571071154244
Zenobius,0.5504605656831063
Thomas J. Speer,0.5504626831360924
"Laing, David",0.5504652138614567
William K. Carroll,0.5504706288751264
Shepherd's Journal,0.5504707474823654
William Hearn,0.5504892559315615
Anapatrapya,0.5504932239220525
Shor Sharaba,0.5505003778894795
La Chapelle-Saint-Florent,0.5505013403045198
Peter Boehler,0.550502946429115
Airyaman,0.5505067283667171
History of the Filioque controversy,0.5505090650947184
Achenbach,0.5505114348725131
Christopher Morse,0.5505135430534219
Society for Exact Philosophy,0.550514671524402
William P. Foster (jurist),0.5505151384637974
Girondin constitutional project,0.5505165156169087
Heckler's veto,0.5505227277579965
David Fasenfest,0.5505271869101487
Christ myth theory,0.550552543208556
Foucault (surname),0.5505549148047855
Ahmad ibn al-Tayyib al-Sarakhsi,0.5505807464126403
Idealized Cognitive Models,0.5505813218491918
Idealized cognitive models,0.5505813218491918
Quran Surah,0.5505904139892129
Bina Agarwal,0.5505912720844605
Wayne Dumont,0.5505934755756728
Onus,0.5505938553391423
Cisai-Saint-Aubin,0.550598513823656
Robert J. Morris,0.5506006064521676
Extremism,0.5506023951196453
Good News Club v. Milford Central School,0.5506048549867614
Norbert Perrimon,0.5506060657065037
Citizen Equality Act of 2017,0.5506073104825351
Promiscuous Judge,0.5506086470894382
John W. Davis (New Jersey politician),0.5506129196024208
Joseph P. Chandler,0.5506189608121417
La Chapelle-Biche,0.5506337726240446
La Lande-Patry,0.5506337726240446
La Chapelle-au-Moine,0.5506337726240446
James Buchanan judicial appointments,0.5506343589937861
Gerardo de Oscar,0.5506538690844949
Hla Myint,0.5506613033588637
Zadruga (movement),0.5506655754025586
List of universities in Brazil by state,0.550673996218707
Thomasian Martyrs,0.5506755072603254
Passavant-sur-Layon,0.5506763443272956
Michel Zen-Ruffinen,0.5506789347049713
Stelton,0.5506894016644347
Purpose trust,0.5506940378704895
Grammatical aspect,0.550702850667307
Patrick Stübing,0.5507172567625995
William E. Blaisdell,0.5507239861824356
Adam Liptak,0.5507286915589192
Polish grammar,0.5507304135703445
Dorothy Osborne,0.5507430239583367
The Constitution Society,0.5507435525265595
David Albala,0.5507507147829164
Mormonism and other faiths,0.5507512165821133
Buddhi,0.5507769575855215
Saint-Sever-de-Rustan,0.5507838834621862
