title,prediction
Aldo Di Clemente,0.30000047604543606
Shohei Yamamoto,0.30000326062330473
Sándor Mátrai,0.3000041236290665
Van Steenwinckel,0.3000069805674769
Ivo Ulich,0.3000082030163254
Ed Strelecki,0.30000863347506457
Diomedeia,0.30000995424806487
Policijas FK,0.30001023443755664
Scorpius,0.30001044538210053
Clare P. Grey,0.30001196393664936
Asmodeus (Marvel Comics),0.3000131977063585
2006–07 Newcastle United F.C. season,0.3000141891413581
Matt McClure (footballer),0.3000159992927603
Nathan Gerbe,0.3000167077154584
Fold and thrust belt,0.30001791189534577
Northern Iowa Panthers men's basketball,0.30001814979970537
Lodged,0.3000188776363086
Lodgings,0.3000188776363086
Sufi Lodge,0.3000188776363086
Viceregal Lodge (disambiguation),0.3000188776363086
Lodgers,0.3000188776363086
Small claims,0.30001899643691654
Helios Hyperion,0.30002172884501177
Warhammer Fantasy (setting),0.3000240790134265
A2 motorway (Romania),0.3000254936928083
2014–15 Heart of Midlothian F.C. season,0.3000262589315337
Effi Birnbaum,0.30002897243658494
1996–97 Livingston F.C. season,0.30003022417509323
Vinnie Hinostroza,0.3000303031768268
Marcello Benvenuti,0.300038904428933
Nguyễn Thế Anh,0.3000393749590618
Phasm,0.30003953377277537
The End (The X-Files),0.3000405277951877
Ernst Albrecht von Eberstein,0.3000433656986348
NGC 4458,0.3000466527533685
ZZ diboson,0.30005301987622807
A9 highway (Lithuania),0.30005347909355756
Edward Bennett Rosa,0.30005462700156893
Jumping Flash! 2,0.3000558385729273
Center of power,0.3000579198257177
Kyel Reid,0.30005803573139095
Justin Hoyte,0.30005955814780094
Zacharias Mellebye,0.3000596688899741
Bravais flock,0.30006124213377094
Masurao Hiroo,0.300061414539802
Avestan phonology,0.3000641354423094
Tomokazu Nagira,0.3000647693683443
Global cascades model,0.3000667921953497
Marvin Emnes,0.30006780059114013
Critical state soil mechanics,0.30006983732218206
Wilton Zaiser,0.30007001728139115
Conjugate focal plane,0.30007286170521785
Garrett Roe,0.3000741100959513
Bleeker,0.3000752413176564
Recurvaria stibomorpha,0.3000758235237841
Marcel Guénin,0.30007606082821225
Albert Parker,0.3000774930527204
Riku Hahl,0.30007929618713847
Stefan Šapić,0.30008297929151906
Israeli Premier League,0.3000919617301112
Şener Kurtulmuş,0.3000958252441283
William Morrison (dentist),0.3000961892061924
Nanterre-Université Station,0.3000967422498984
"Olson, Lawrence",0.3000989752699914
Josh Kay,0.300100073247343
Bias tee,0.30010660106796705
Robert N. Hall,0.3001072560352398
Niels van den Berge,0.30011121565236065
David Shugar,0.30011876722505193
Skull & Crossbows,0.30012016428549126
14th World Science Fiction Convention,0.30012274191453486
Bressler,0.3001263706095533
Hjorthagens IP,0.3001279338535351
2010 Mountain West Conference Men's Basketball Tournament,0.30013085934642403
Terry Carkner,0.3001403250710387
Meanings of minor planet names: 127001–128000,0.3001411727756085
Taylor Leier,0.30014236123508475
Adam Payerl,0.3001427570778899
Tony Obi,0.3001432425019351
Chydeniusbreen,0.3001436164223877
Jason Johnson (baseball),0.30014405879577377
Heeger,0.30015027042365117
Aleksi Mäkelä,0.3001548977433762
Volcanologist,0.30015685548435783
USS Commodore,0.30015688937764484
Antonio Núñez Tena,0.300160490723357
Landing Light,0.3001608777242643
Southern Local Supervoid,0.30016561986664814
Carl Pentney,0.30016879666607726
Merrill (crater),0.3001688708631498
Nishtala Appala Narasimham,0.30016919027617295
Cem Felek,0.30016934113469573
Long March 3C,0.30016975209838825
Caíque Silva Sá,0.30017280534199214
Gabi Rosendoren,0.3001772564590648
Burak Karaduman,0.3001776354140321
List of Uranus-crossing minor planets,0.3001816999644066
Doc Gorman,0.30018346491068226
At Your Service-Star Power,0.3001859455961296
Traveling the Stars: Action Bronson and Friends Watch ‘Ancient Aliens’,0.30018752161601264
NGC 1705,0.3001914041622239
Practice Lens,0.30019226320696113
Katrina & the Waves 2,0.300193222717223
Jan van den Aveelen,0.30019445466346106
Doug McGibbon,0.300195324111289
Missouri Valley Football Conference,0.3001962523561917
"Neubau, Vienna",0.30020278168468056
"Landstraße, Vienna",0.30020278168468056
"Leopoldstadt, Vienna",0.30020278168468056
"Alsergrund, Vienna",0.30020278168468056
Cesare Natali,0.30020307624754744
ASA X3.4-1965,0.30020613074543856
Jay Fulton,0.3002132976690893
Kyle Richardson,0.3002153819283556
56 Andromedae,0.30022341808944847
Delial Brewster,0.300224646665564
Joe Wiseman Howland,0.3002251895590311
Konstantin Shafranov,0.3002282031793545
1917 Cornell Big Red football team,0.30022972362237105
Alan Fowler (physicist),0.30023111791748275
Carlos Gutiérrez González,0.300232159912867
SN 1940B,0.3002336883934678
Martin Lorentzson,0.30023678350865624
Mohamed Sissoko,0.3002398139102389
The Thaw (novelette),0.3002425248036831
Qui-Gon and Obi-Wan: The Aurorient Express,0.3002432975381999
Toscha Seidel,0.3002439322873365
Martha L. Ludwig,0.3002440552515408
Integrated clock gating,0.3002448702719208
Conor Townsend,0.3002493690219008
Arvid Anseth,0.30025103303314643
Sidneys Knob,0.30025224352178087
Sandesh Gadkari,0.30025326554034015
Nathaniel Chalobah,0.3002584245121994
János Patály,0.3002595711830784
Floyd Favors,0.30025996081524214
Jeff Likens,0.30026093643893415
Lawson's Chip Dip,0.30026136581428403
Sweeney Granite Mountains Desert Research Center,0.3002634124092503
Baiba Bendika,0.3002636621688263
Aleksei Kolokolchikov,0.3002666122143307
Interior drainage basin,0.30027028548470397
Austrian Academy of Sciences,0.30027059373006987
Joe Stewart (baseball),0.30027168554550265
Cajun Crown,0.3002720109411793
Star Warped (novel),0.3002724731809209
Gloanna W. MacCarthy,0.3002766143501235
Brian Lumley deities,0.3002808652035639
Bert Lyons (footballer),0.30028141359138033
Jeremy Crawford,0.3002819560186561
Sorcerer's Son,0.3002828904414466
Anton Khudobin,0.3002854016092997
Star Wars Star Trek comparisons,0.30028607475503216
Star Wars Star Trek comparison,0.30028607475503216
Downstate Correctional,0.30028659383479706
Rel ops,0.3002870590874086
Std::rel ops,0.3002870590874086
Robson Muchichwa,0.30029000155631347
SCR J1546−5534,0.30029005236660933
Meg Beresford,0.30029129677779876
Kartia: The Word of Fate,0.3002963499977519
Sound baffle,0.300297846720185
Jatun Lluqhi,0.30030313101231576
Tuslaw High School,0.30030995159192897
Upper tropospheric cyclonic vortex,0.300312053986727
Harold Max Rosenberg,0.30031391476038616
1913–14 Danish National Football Tournament,0.30031487457786304
Adamas Golodets,0.300318264387795
Mark Ardelan,0.3003217016778089
Ray Mears (disambiguation),0.3003219626701703
Upstarts (comics),0.3003233044608488
Ivan Čiernik,0.3003245785758768
Louisiana Derby top three finishers,0.3003305909084537
Guido Pieters,0.30033980165997276
Yafa Yarkoni,0.30034013729282666
Air Force Weapons Laboratory,0.3003420002589277
