title	predicted	actual	threshold_pred
Category:Minimal surfaces	0.0022651397829479038	1.0	False
Wonder Woman (2017 film)	0.002833497959171093	1.0	False
Erica Klarreich	0.0028665672558218537	1.0	False
Gold glass	0.00421778127101622	1.0	False
Vladimir Shukhov	0.004264822102482837	1.0	False
Martial arts therapy	0.006505026192563264	1.0	False
Biochemical Predestination	0.007935897668105436	1.0	False
Tachyonic antitelephone	0.009550224391108244	1.0	False
Category:Biochemistry literature	0.010292815975677102	1.0	False
Category:Pharmacology literature	0.010292815975677102	1.0	False
Category:Bhopal disaster	0.011699217747723888	1.0	False
Bounded deformation	0.01339846216328612	1.0	False
Latter Day Saint movement and engraved metal plates	0.0161836065677995	1.0	False
Jumping library	0.016831587190141953	1.0	False
Actinorhizal plant	0.01692873755185129	1.0	False
Fundred Dollar Bill Project	0.017018410098064006	1.0	False
Matthews correlation coefficient	0.017438739725754975	1.0	False
Igor Gamow	0.01810411968405026	1.0	False
Yeshayahu Leibowitz	0.01832997462209096	1.0	False
Rebecca Chambers (character)	0.019582450071308724	1.0	False
Category:Hypothetical nuclei	0.020891915387989457	1.0	False
Thomson problem	0.021077725283396995	1.0	False
Tolex	0.021940825584053168	1.0	False
Magnesium transporter	0.021986596966698833	1.0	False
Chromosome jumping	0.022030600284448587	1.0	False
Epicyclic frequency	0.02234303875461866	1.0	False
Flash (Barry Allen)	0.0225239606314832	1.0	False
Category:PPG people	0.02267981462138145	1.0	False
Propellant depot	0.022775540491391903	1.0	False
Paired-end tag	0.023233896588397158	1.0	False
Impulse excitation technique	0.02380785788070689	1.0	False
Bronze and brass ornamental work	0.023836200139532124	1.0	False
Gold compact disc	0.025965758600224657	1.0	False
Category:Salt flats	0.02686903061782781	1.0	False
Category:Globally Harmonized System	0.02689206820716274	1.0	False
Adaptive fluid-infused porous film	0.027731235838151774	1.0	False
Deca- (prefix)	0.02802963485282137	1.0	False
Snoezelen	0.029040715265112437	1.0	False
Dilution assay	0.029070116008399236	1.0	False
Catalyst Science Discovery Centre	0.029822970022928306	1.0	False
Pipe Cutting	0.030075015201753992	1.0	False
Category:IV-VI semiconductors	0.030145649223265663	1.0	False
Category:II-V semiconductors	0.030145649223265663	1.0	False
Category:III-V semiconductors	0.030145649223265663	1.0	False
Category:II-VI semiconductors	0.030145649223265663	1.0	False
High-frequency impulse-measurement	0.030190317938986	1.0	False
