title	predicted	actual	threshold_pred
Thorsten M. Schlaeger	0.20003047453256825	0.0	True
.eco	0.20005355613866066	0.0	True
United Nations University Institute on Computing and Society	0.20051181671438487	0.0	True
Nikolay Kamov	0.20071056860800726	0.0	True
Cell-free protein array	0.20071986254020904	0.0	True
Pyrethrin	0.20092703576146967	0.0	True
Gamma-Re Transition Model	0.2009382236203629	0.0	True
Acroplaxome	0.20094807920014074	0.0	True
Medical test	0.20102784431995896	0.0	True
Category:Information technology in Kazakhstan	0.2011533539284857	0.0	True
Airmails of the United States	0.20142422999616685	0.0	True
General circulation model	0.20160446316331584	0.0	True
Steatosis	0.20170094756839674	0.0	True
Coding strand	0.20178752600882816	0.0	True
Reverse northern blot	0.20196441937305745	0.0	True
Airborne radio relay	0.20213904259998156	0.0	True
Category:Aviation by war	0.20239085333612786	0.0	True
File:Double Tools Front Box.jpg	0.2025713092853144	0.0	True
Simulated fluorescence process algorithm	0.20274688681774214	0.0	True
Category:Aviation in Peru	0.2027570753956055	0.0	True
File:Malcolm Ross AHM USNO19570507 212.png	0.20280909618613072	0.0	True
Ion channel hypothesis of Alzheimer's disease	0.20308544394917807	0.0	True
Endoexocytosis	0.20337939125845395	0.0	True
Dorothea Rudnick	0.20339096675518065	0.0	True
No. 42 Squadron RNZAF	0.20340591064776853	0.0	True
Category:Computer science institutes in France	0.20385437401056472	0.0	True
Template:Biological rules	0.20427114820304576	0.0	True
File:JTSman.gif	0.20435169342816836	0.0	True
Obstacle light	0.2043586327351521	0.0	True
Lila Ibrahim	0.20440050522468506	0.0	True
993–994 carbon-14 spike	0.204584174812744	0.0	True
Category:Aviation in Iran	0.20485705643999186	0.0	True
Category:Pareto efficiency	0.2052327832885804	0.0	True
Horseshoe route	0.20546219091424026	0.0	True
P = BPP problem	0.205482640882746	0.0	True
Template:Vitis (grape) species	0.20587005419693408	0.0	True
Category:BCS Specialist Groups	0.20605366582127946	0.0	True
Category:Computer-related introductions in 1918	0.20621242748222796	0.0	True
List of settlements in Suffolk by population	0.20640491498672356	0.0	True
Category:Computer science institutes in Pakistan	0.20648265213180336	0.0	True
National Institutes of Health Director's Pioneer Award	0.2066610177468628	0.0	True
File:GarryKitchen-boxfront.jpg	0.20668277484583808	0.0	True
Microbicides for sexually transmitted diseases	0.20674447301554436	0.0	True
File:Conduit-icon.svg	0.2067818303339931	0.0	True
Biobased economy	0.206835028192347	0.0	True
Cytostasis	0.2068543483505715	0.0	True
Category:PostgreSQL	0.20705880000198013	0.0	True
Alma Howard	0.2071278099880364	0.0	True
International Society for Invertebrate Morphology	0.20713449309324813	0.0	True
List of digital organism simulators	0.20775175117027844	0.0	True
Eduard Spelterini	0.2080300493475258	0.0	True
1987 in aviation	0.20826263168236944	0.0	True
History of Burroughs Corporation	0.208403733314956	0.0	True
Nancy Lieder	0.2085955011313008	0.0	True
Uniporter, Symporter, Antiporter	0.2087024706966036	0.0	True
XF-73	0.2087307090227259	0.0	True
File:NQuery Sample Size Software Logo.png	0.20881379624648627	0.0	True
Elizabeth Blackburn	0.2088738479630211	0.0	True
Texture compression	0.20890987514785767	0.0	True
