title	predicted	actual	threshold_pred
New literacies	0.05827799892109118	1.0	False
Small-bias sample space	0.08679358067280747	1.0	False
Semigroup action	0.05026676075565788	1.0	False
Chung Kwei (algorithm)	0.07527667102602394	1.0	False
Category:Operating system criticisms	0.029884680187375428	1.0	False
Score bug	0.027282668365929928	1.0	False
Category:ASP.NET	0.05061077472249043	1.0	False
Computational particle physics	0.05737321735616699	1.0	False
Category:Mathematics of computing	0.022079531697157356	1.0	False
E2open	0.033078104924925175	1.0	False
Category:Hacking in the 1980s	0.05616124039804037	1.0	False
Category:Video game development	0.01331970902831955	1.0	False
Four Horsemen of the Infocalypse	0.03897064826401004	1.0	False
DIT School of Electrical & Electronic Engineering	0.007961527441073276	1.0	False
Signal averaging	0.09547106027564149	1.0	False
SEMAT	0.09924585077539162	1.0	False
Artificial chemistry	0.0025688001963415363	1.0	False
UAV Outback Challenge	0.09199893704598633	1.0	False
Category:MSX	0.05221579109131629	1.0	False
Category:Graph drawing	0.010560639893054493	1.0	False
Kinemation	0.0690160582504295	1.0	False
Computational immunology	0.0592509230592341	1.0	False
Banded waveguide synthesis	0.024916748238149558	1.0	False
Anti-circumvention	0.021326332721534346	1.0	False
Computer booking system	0.07755250182957782	1.0	False
Line fitting	0.03971093633939648	1.0	False
File:BCIAwardWinner2014.jpg	0.05404673802894557	1.0	False
Gašper Tkačik	0.01587366167004571	1.0	False
Černy conjecture	0.05924015264456611	1.0	False
Horizons: Software Starter Pack	0.09446996372483496	1.0	False
Category:Dpkg	0.05404673802894557	1.0	False
Reflection lines	0.07194391685171682	1.0	False
Plane wave expansion method	0.0641672411809116	1.0	False
Computational sustainability	0.04827936304907231	1.0	False
Time-domain harmonic scaling	0.08510601826952065	1.0	False
File:Opencast-software-logo.svg	0.05404673802894557	1.0	False
Tony Almeida	0.09297237002781503	1.0	False
Render layers	0.09824748968707088	1.0	False
Category:Internet properties by year of establishment	0.02442158142817024	1.0	False
Dynamic epistemic logic	0.03293012727277678	1.0	False
Category:Virtual babies	0.0776172241863547	1.0	False
Category:Virtual pets	0.05235559677140622	1.0	False
Generalized Environmental Modeling System for Surfacewaters	0.008337976346591348	1.0	False
Tardiness (scheduling)	0.07305346710510509	1.0	False
Advanced process control	0.03522217977796725	1.0	False
History of Gandalf Technologies	0.03371965865943954	1.0	False
Contract Net Protocol	0.09623229743044209	1.0	False
Sri Lanka Software Testing Board	0.0975402994299243	1.0	False
Aurora (novel)	0.019685635582598074	1.0	False
Theoi Project	0.0033316978030404113	1.0	False
Stefan Burr	0.08033088678746887	1.0	False
Book:Computer Networking	0.05730916336616498	1.0	False
Darkforest	0.047340634216850225	1.0	False
SPIN (software process)	0.09205259000264304	1.0	False
Category:Singularitarianism	0.06689268252858092	1.0	False
Liu Jiren	0.09941149824504918	1.0	False
Artificially Expanded Genetic Information System	0.06731953826291281	1.0	False
Category:Diversity in computing	0.05404673802894557	1.0	False
Category:Algorithmic information theory	0.06248403945158002	1.0	False
IFIP WG 13.6 - Human Work Interaction Design	0.09369226512250454	1.0	False
Network Centric Product Support	0.07055119998441138	1.0	False
List of video game emulators	0.0844256692459167	1.0	False
File:Gazebo logo.svg	0.08409869008940772	1.0	False
International Electron Devices Meeting	0.07665222705328813	1.0	False
Category:Public-domain software with source code	0.07310055695989236	1.0	False
Astrochicken	0.05132339740552349	1.0	False
Category:Nortel products	0.06495199452172928	1.0	False
Behavioral modeling in computer-aided design	0.08579181660991128	1.0	False
ACM ICPC Dhaka Site	0.09099258556150921	1.0	False
History of NCR Corporation	0.08528453734561363	1.0	False
International Journal of Software Engineering and Knowledge Engineering	0.05036260896577031	1.0	False
CHI Academy	0.05944653666957921	1.0	False
List of SAP products	0.09772947575832946	1.0	False
Book:Software testing	0.03971221863856245	1.0	False
K-regular sequence	0.038582263129825274	1.0	False
Lori McCreary	0.01590500365744806	1.0	False
Comma code	0.0668174170382372	1.0	False
Software publisher	0.09407739283072493	1.0	False
Epistemic modal logic	0.01152752718663798	1.0	False
File:BCIAward2013.jpg	0.05404673802894557	1.0	False
History of email spam	0.09199282062321613	1.0	False
ITCRA	0.0784114666652745	1.0	False
History of Burroughs Corporation	0.06405597879155628	1.0	False
Chatterbox Challenge	0.009620362523345227	1.0	False
Map segmentation	0.06938925703877301	1.0	False
Category:NP-complete problems	0.056175093876825295	1.0	False
Category:Internet by country	0.02467731194683795	1.0	False
Landscape design software	0.007813937492690805	1.0	False
Symmetrization methods	0.05792893667639192	1.0	False
Consed	0.08553447485934408	1.0	False
National Institute of Genetics	0.08718339039016024	1.0	False
Franz Alt (mathematician)	0.030139876841955286	1.0	False
Computer Model Railroad Interface	0.039655062824868914	1.0	False
Drop shadow	0.07842204483441538	1.0	False
Category:Roboticists	0.0804095510254286	1.0	False
Mycoplasma laboratorium	0.019105483922736196	1.0	False
Signed overpunch	0.04969818070878437	1.0	False
Global Public Health Intelligence Network	0.07981494222214454	1.0	False
Categorical logic	0.021092150175663783	1.0	False
Computer Dreams	0.03525439037104238	1.0	False
Benji Dunn	0.03688144264344142	1.0	False
File:BCIAward2015.jpg	0.05404673802894557	1.0	False
Data diddling	0.07608430084959533	1.0	False
Transcriptor	0.012104783516503731	1.0	False
Santa Claus machine	0.009066351156197345	1.0	False
Dual norm	0.007120772497865738	1.0	False
International Journal of Creative Computing	0.03205500802665747	1.0	False
Hardware architect	0.007570138207402956	1.0	False
Netflix Prize	0.0936905457009333	1.0	False
S-procedure	0.014519471159574793	1.0	False
CompuMath Citation Index	0.0983022997826037	1.0	False
Combs method	0.05752724283709418	1.0	False
Category:SQLite	0.05404673802894557	1.0	False
Dolinar receiver	0.020046408883222712	1.0	False
Category:Interrupts	0.05404673802894557	1.0	False
Microfit	0.025913114379955682	1.0	False
