title	predicted	actual	>0.2
New literacies	0.1249708795531951	1.0	False
Pebble game	0.14443934140990242	1.0	False
Controversies surrounding Grand Theft Auto IV	0.08544886521389314	1.0	False
Australian Partnership for Advanced Computing	0.1237702290863684	1.0	False
Small-bias sample space	0.12992686592193942	1.0	False
Overlap coefficient	0.10785883076236844	1.0	False
Semigroup action	0.08148823740938903	1.0	False
Riemann problem	0.12553684912282476	1.0	False
Category:Operating system criticisms	0.057132346636916	1.0	False
Score bug	0.06274853642171413	1.0	False
Category:ASP.NET	0.07972864328997681	1.0	False
Computational particle physics	0.07885609127182919	1.0	False
Category:Mathematics of computing	0.08125757923816761	1.0	False
Information technology in Morocco	0.12109618938659676	1.0	False
E2open	0.10629648732135782	1.0	False
Canopy Innovations	0.10925413202244796	1.0	False
Journal of Interconnection Networks	0.14442739007138347	1.0	False
Category:Hacking in the 1980s	0.093372890246822	1.0	False
Category:Video game development	0.05054580029828971	1.0	False
Category:BCS Specialist Groups	0.10800909451212935	1.0	False
Danny Lewin Best Student Paper Award	0.1253075534848065	1.0	False
Irish Universities Association	0.13096884695607494	1.0	False
Four Horsemen of the Infocalypse	0.07623422645209253	1.0	False
National Coding Week	0.11812490683802473	1.0	False
DIT School of Electrical & Electronic Engineering	0.047679256385831835	1.0	False
List of presidents of the British Computer Society	0.1390094541973531	1.0	False
Poornima Vijayashanker	0.13488570680825318	1.0	False
Computer Arts Society	0.06239695232458891	1.0	False
Signal averaging	0.13266759564391123	1.0	False
Artificial chemistry	0.01908665615913503	1.0	False
UAV Outback Challenge	0.11224860532739395	1.0	False
Category:MSX	0.0894314359488341	1.0	False
Cure53	0.1305441506919139	1.0	False
Category:Graph drawing	0.042313209886792214	1.0	False
Kinemation	0.12002551828724066	1.0	False
Reproducing kernel particle method	0.09658019280217393	1.0	False
Category:Video game controversies	0.11462729501620489	1.0	False
2D Z-transform	0.14451053341453846	1.0	False
Computational immunology	0.12329137750048808	1.0	False
Banded waveguide synthesis	0.05639589369929926	1.0	False
Anti-circumvention	0.07119612537879726	1.0	False
Autapse	0.07888702321033662	1.0	False
Computer booking system	0.12485785397284731	1.0	False
Line fitting	0.08141503234906715	1.0	False
File:BCIAwardWinner2014.jpg	0.08865877024827187	1.0	False
Gašper Tkačik	0.08269731748368991	1.0	False
Category:The Benjamin Franklin Medal in Computer and Cognitive Science laureates	0.13588232609337966	1.0	False
Promise theory	0.13702768344810662	1.0	False
Lattice delay network	0.12801099374374933	1.0	False
Černy conjecture	0.060116554184759516	1.0	False
Kate Craig-Wood	0.13968546080216585	1.0	False
Horizons: Software Starter Pack	0.11632471490297841	1.0	False
DUAL (cognitive architecture)	0.1366311700288012	1.0	False
Kuchu Collective	0.10365338662120069	1.0	False
Category:Dpkg	0.08865877024827187	1.0	False
Zero address arithmetic	0.12195226209716577	1.0	False
Reflection lines	0.05876349473064758	1.0	False
Canadian IT Body of Knowledge	0.13843180147362222	1.0	False
Category:TI-83&4 series Zilog Z80 software	0.12364205983528656	1.0	False
Plane wave expansion method	0.06379832110256924	1.0	False
Computational sustainability	0.12268650023840022	1.0	False
Time-domain harmonic scaling	0.1305222876918521	1.0	False
