title	predicted	actual	threshold_pred
CellProfiler	0.49090763036338175	0.0	True
Portal:Neuroscience	0.15700369808380396	0.0	True
Turing's Wager	0.20306971292928203	0.0	True
Quine (computing)	0.7029751021069227	0.0	True
Category:Self-replicating machines	0.6505335202596996	0.0	True
The Amsterdam Global Conference on Sustainability and Transparency	0.21755099209095227	0.0	True
Logic and dialectic	0.163623905973924	0.0	True
Sensory memory	0.17449744852276028	0.0	True
SED-ML	0.6494652624734597	0.0	True
Category:Airships of the United States Navy	0.170745859759195	0.0	True
Template:Rfam	0.28626585759805906	0.0	True
File:Huston Smith.jpg	0.15530579945762385	0.0	True
Category:Genetics or genomics research institutions	0.16374712188089705	0.0	True
Alien Flight Student Program	0.26749421886792357	0.0	True
List of software for protein model error verification	0.25115400739584015	0.0	True
African Society for Bioinformatics and Computational Biology	0.7945200677475244	0.0	True
Cognitive model	0.4005156908840319	0.0	True
Computer-Assisted Passenger Prescreening System	0.5771906195498936	0.0	True
History of artificial life	0.9639641653244275	0.0	True
Bioinformatic Harvester	0.19141315963750732	0.0	True
Sensitive Security Information	0.4642922261257701	0.0	True
MAVID	0.27028839301755	0.0	True
Category:Prokaryotes taxonomy	0.2840120729394994	0.0	True
PhylomeDB	0.2674990749631214	0.0	True
Andrew Thompson (parasitologist)	0.2716232024519343	0.0	True
The Brain Prize	0.22838292597835946	0.0	True
JSBML	0.8944792818710036	0.0	True
Template:Paleodb	0.330953372162136	0.0	True
Research balloon	0.16248631669256247	0.0	True
Phasor approach to fluorescence lifetime and spectral imaging	0.20800104123606716	0.0	True
Jalview	0.4920510393583239	0.0	True
Ethics Bowl	0.15664118104221034	0.0	True
Neural oscillation	0.4600251377766286	0.0	True
Category:Enactive cognition	0.198080135233863	0.0	True
File:Descartes optics.jpg	0.3125426486257334	0.0	True
Ariadne's thread (logic)	0.1625216784231297	0.0	True
UNESCO-Equatorial Guinea International Prize for Research in the Life Sciences	0.21455959552084947	0.0	True
File:Balloon fiesta special shapes02.jpg	0.2365853574053913	0.0	True
Category:Airline logos	0.1503469113026342	0.0	True
Automated aerial refueling	0.31202211698427085	0.0	True
SimLife	0.1909876450755037	0.0	True
File:Adrenaline romance.jpg	0.18285457653431744	0.0	True
Tree rearrangement	0.2670120495250711	0.0	True
RapidMiner	0.5209886373024089	0.0	True
Austrocortirubin	0.15034510188563432	0.0	True
Qlucore	0.32391002876383757	0.0	True
Category:Aircraft finance	0.4029689209186804	0.0	True
DNA Data Bank of Japan	0.18634476647070375	0.0	True
AMAP	0.29504900514451093	0.0	True
Minimum information about a simulation experiment	0.3875170577321178	0.0	True
Robert Burn (naturalist)	0.2142866125761988	0.0	True
Ecoinformatics	0.299664710249191	0.0	True
Formal ontology	0.2906578343402718	0.0	True
Biochore	0.2917564239257049	0.0	True
Neuroscience Information Framework	0.9192838226966682	0.0	True
Open Tree of Life	0.1662488700612745	0.0	True
Janet Kelso	0.1717804218148313	0.0	True
Aureus Sciences	0.3063769819536742	0.0	True
Heuristic argument	0.2605530425911096	0.0	True
Fluroxypyr	0.23127405500450052	0.0	True
Human subspecies	0.3526680697921865	0.0	True
Category:Branches of botany	0.1622477698073163	0.0	True
File:LeoStrauss.jpg	0.21427330025569044	0.0	True
InRule Technology	0.8581798550428426	0.0	True
Prey (novel)	0.19699292796161127	0.0	True
Luciad	0.4223205605791716	0.0	True
Template:Nervous system physiology	0.22387293149490825	0.0	True
Category:Taxa described in 1994	0.3449085903469354	0.0	True
Radical translation	0.3083884700738584	0.0	True
File:Pacific Missionary Aviation logo.jpg	0.6319254570019648	0.0	True
Pacific Biodiversity Information Forum	0.22013656695975545	0.0	True
Category:Environmental conferences	0.7045418559236823	0.0	True
Sarnoff Fellowship	0.29553265081383107	0.0	True
Category:Personal life	0.16971748211091486	0.0	True
Aurora programme	0.1851360495275209	0.0	True
Neural computation	0.7069495458507432	0.0	True
Joel Dudley	0.7088330387144876	0.0	True
2018 Atlanta cyberattack	0.523869761935241	0.0	True
Category:Anatomical simulation	0.5581118858988902	0.0	True
ANGIS	0.6603888405513705	0.0	True
European Summer School in Logic, Language and Information	0.5497625942015143	0.0	True
Large scale brain networks	0.1819058882911034	0.0	True
Category:Aviation in the Netherlands	0.21879507138574608	0.0	True
Barwise Prize	0.5652867466084701	0.0	True
File:Hit the gas.JPG	0.20481000525943485	0.0	True
PMDTT	0.17473035955128827	0.0	True
COPASI	0.23624871322037802	0.0	True
GenoCAD	0.20301400001710307	0.0	True
Educational neuroscience	0.1941441218941604	0.0	True
Memory-prediction framework	0.3003173225340837	0.0	True
DNA digital data storage	0.39635404367524923	0.0	True
Category:Subfields of zoology	0.1842639146952185	0.0	True
Template:EMBL genus	0.3719500780546718	0.0	True
GeneTalk	0.25693873492089625	0.0	True
Category:Virus taxonomy	0.2840120729394994	0.0	True
Maximum parsimony (phylogenetics)	0.1986326428614416	0.0	True
List of systems biology conferences	0.15898744243044222	0.0	True
Sarnat Prize	0.2151401657627462	0.0	True
Biological neuron model	0.39156069350153055	0.0	True
Multiomics	0.1683328427257059	0.0	True
Finite model property	0.18336725521657626	0.0	True
Category:Rigid airships of the United States Navy	0.170745859759195	0.0	True
Digital organism	0.9732348235020618	0.0	True
Category:Free biomedical software	0.3510786751414545	0.0	True
Category:Organisms living on hydrothermal vents	0.26414579014692996	0.0	True
Tree of Life Web Project	0.25293984031168804	0.0	True
Template:Bouchet 2005	0.3268503621956367	0.0	True
Programming ethics	0.9360292979142931	0.0	True
Category:Aviation in the Netherlands Antilles	0.21879507138574608	0.0	True
Google Balloon Internet	0.3404018608208984	0.0	True
Biodiversity informatics	0.26421425989993813	0.0	True
Category:Taxa described in 2007	0.158552984426966	0.0	True
NEST (software)	0.9313776155975029	0.0	True
Category:Sexual selection	0.1575642395277767	0.0	True
Association for Nutrition	0.16955207553704155	0.0	True
FNRS-1	0.32503797533995304	0.0	True
ISCB Fellow	0.6117921635765335	0.0	True
Secure Flight	0.5822035093292947	0.0	True
International Society for Computational Biology	0.9340846805714158	0.0	True
Systems neuroscience	0.2933655021699329	0.0	True
Colonial commodity fiat	0.1557031257380607	0.0	True
Aparokshanubhuti	0.16400533250296592	0.0	True
Book:Neuroscience	0.18633830396506126	0.0	True
File:Captain-Jack-Sparrow.jpg	0.6299519163288135	0.0	True
Biobank ethics	0.21636665188651197	0.0	True
Igor Jurisica	0.8766190987972865	0.0	True
Anduril (workflow engine)	0.41206091819037904	0.0	True
