url	cleaned_url	depth
/w/index.php?title=Special:CategoryTree&target=Aerospace&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Commons_category_link_is_on_Wikidata&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Transport_by_mode&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Vehicle_operation&mode=20&hideprefix=20&showcount=1		0
/wiki/Category:Aeronautics	Category:Aeronautics	0
/wiki/Category:Aviation	Category:Aviation	0
/wiki/Category:Airships	Category:Airships	0
/wiki/Category:Balloons_(aircraft)	Category:Balloons (aircraft)	0
/wiki/Category:Aeronautical_databases	Category:Aeronautical databases	0
/wiki/Category:Aeronautics_organizations	Category:Aeronautics organizations	0
/wiki/Aeronautics	Aeronautics	0
/wiki/List_of_aviation,_aerospace_and_aeronautical_abbreviations	List of aviation, aerospace and aeronautical abbreviations	0
/wiki/Aeronautical_phraseology	Aeronautical phraseology	0
/wiki/Air_Cargo_Challenge	Air Cargo Challenge	0
/wiki/Airship	Airship	0
/wiki/Matthew_Piers_Watt_Boulton	Matthew Piers Watt Boulton	0
/wiki/Cumulonimbus_and_aviation	Cumulonimbus and aviation	0
/wiki/Digital_Notam	Digital Notam	0
/wiki/Flanking_line_(meteorology)	Flanking line (meteorology)	0
/wiki/Michel_Gordillo	Michel Gordillo	0
/wiki/Lofting	Lofting	0
/wiki/NASA_research	NASA research	0
/wiki/Port_and_starboard	Port and starboard	0
/wiki/Katharine_Stinson	Katharine Stinson	0
/wiki/Category:Aviation_by_city	Category:Aviation by city	1
/wiki/Category:Aviation_by_continent	Category:Aviation by continent	1
/wiki/Category:Aviation_by_country	Category:Aviation by country	1
/wiki/Category:Aviation-related_lists	Category:Aviation-related lists	1
/wiki/Category:Aerodromes	Category:Aerodromes	1
/wiki/Category:Aircraft	Category:Aircraft	1
/wiki/Category:Airlines	Category:Airlines	1
/wiki/Category:Air_freight	Category:Air freight	1
/wiki/Category:Air_traffic_management	Category:Air traffic management	1
/wiki/Category:Aircraft_operations	Category:Aircraft operations	1
/wiki/Category:Aircrew_clothing	Category:Aircrew clothing	1
/wiki/Category:Airspeed	Category:Airspeed	1
/wiki/Category:Aviation_industry	Category:Aviation industry	1
/wiki/Category:Aviators	Category:Aviators	1
/wiki/Category:Civil_aviation	Category:Civil aviation	1
/wiki/Category:Aviation_communications	Category:Aviation communications	1
/wiki/Category:Aviation_and_the_environment	Category:Aviation and the environment	1
/wiki/Category:Fixed-base_operators	Category:Fixed-base operators	1
/wiki/Category:Flight_training	Category:Flight training	1
/wiki/Category:Glossaries_of_aviation	Category:Glossaries of aviation	1
/wiki/Category:Aviation_ground_support_equipment	Category:Aviation ground support equipment	1
/wiki/Category:Air_transport_of_heads_of_state	Category:Air transport of heads of state	1
/wiki/Category:History_of_aviation	Category:History of aviation	1
/wiki/Category:Aviation_infrastructure	Category:Aviation infrastructure	1
/wiki/Category:International_air_transport	Category:International air transport	1
/wiki/Category:Aviation_law	Category:Aviation law	1
/wiki/Category:Aviation_licenses_and_certifications	Category:Aviation licenses and certifications	1
/wiki/Category:Aviation_lights	Category:Aviation lights	1
/wiki/Category:Airmail	Category:Airmail	1
/wiki/Category:Aviation_media	Category:Aviation media	1
/wiki/Category:Aviation_medicine	Category:Aviation medicine	1
