url	cleaned_url	depth
/w/index.php?title=Special:CategoryTree&target=Categories_requiring_diffusion&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Commons_category_link_is_on_Wikidata&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Physical_sciences&mode=20&hideprefix=20&showcount=1		0
/wiki/Category:Physics	Category:Physics	0
/wiki/Category:Concepts_in_physics	Category:Concepts in physics	0
/wiki/Category:Physics_templates	Category:Physics templates	0
/wiki/Category:Subfields_of_physics	Category:Subfields of physics	0
/wiki/Category:Physicists	Category:Physicists	0
/wiki/Category:Physics_awards	Category:Physics awards	0
/wiki/Category:Equations_of_physics	Category:Equations of physics	0
/wiki/Category:Physics_events	Category:Physics events	0
/wiki/Category:Physics_in_fiction	Category:Physics in fiction	0
/wiki/Category:Fringe_physics	Category:Fringe physics	0
/wiki/Category:Gravitation	Category:Gravitation	0
/wiki/Category:History_of_physics	Category:History of physics	0
/wiki/Category:Interaction	Category:Interaction	0
/wiki/Category:Limits_of_computation	Category:Limits of computation	0
/wiki/Category:Limits_to_computation	Category:Limits to computation	0
/wiki/Category:Physics-related_lists	Category:Physics-related lists	0
/wiki/Category:Physics_literature	Category:Physics literature	0
/wiki/Category:Modern_physics	Category:Modern physics	0
/wiki/Category:Physics_organizations	Category:Physics organizations	0
/wiki/Category:Physical_phenomena	Category:Physical phenomena	0
/wiki/Category:Physical_properties	Category:Physical properties	0
/wiki/Category:Physical_quantities	Category:Physical quantities	0
/wiki/Category:Physical_systems	Category:Physical systems	0
/wiki/Category:Standardized_tests_for_Physics	Category:Standardized tests for Physics	0
/wiki/Category:Time_in_physics	Category:Time in physics	0
/wiki/Category:Unsolved_problems_in_physics	Category:Unsolved problems in physics	0
/wiki/Category:Physics_websites	Category:Physics websites	0
/wiki/Category:Wikipedia_books_on_physics	Category:Wikipedia books on physics	0
/wiki/Category:Physics_stubs	Category:Physics stubs	0
/wiki/Physics	Physics	0
/wiki/Outline_of_physics	Outline of physics	0
/wiki/Glossary_of_classical_physics	Glossary of classical physics	0
/wiki/Portal:Physics	Portal:Physics	0
/wiki/Action-angle_coordinates	Action-angle coordinates	0
/wiki/Aerometer	Aerometer	0
/wiki/Bayesian_model_of_computational_anatomy	Bayesian model of computational anatomy	0
/wiki/Group_actions_in_computational_anatomy	Group actions in computational anatomy	0
/wiki/Blasius–Chaplygin_formula	Blasius–Chaplygin formula	0
/wiki/Cabbeling	Cabbeling	0
/wiki/Camelback_potential	Camelback potential	0
/wiki/CCPForge	CCPForge	0
/wiki/Center_of_percussion	Center of percussion	0
/wiki/Computational_anatomy	Computational anatomy	0
/wiki/Conformon	Conformon	0
/wiki/Diffeomorphometry	Diffeomorphometry	0
/wiki/Diffraction-limited_storage_ring	Diffraction-limited storage ring	0
/wiki/Diffuse_field_acoustic_testing	Diffuse field acoustic testing	0
/wiki/Dirac_membrane	Dirac membrane	0
/wiki/Dispersive_medium	Dispersive medium	0
/wiki/Droplet_vaporization	Droplet vaporization	0
/wiki/Electron_heat_capacity	Electron heat capacity	0
/wiki/Elitzur–Vaidman_bomb_tester	Elitzur–Vaidman bomb tester	0
/wiki/Energy_well	Energy well	0
/wiki/Farris_effect_(rheology)	Farris effect (rheology)	0
/wiki/Front_(physics)	Front (physics)	0
/wiki/Gravitationally-interacting_massive_particles	Gravitationally-interacting massive particles	0
/wiki/Harmonic	Harmonic	0
/wiki/Homeokinetics	Homeokinetics	0
/wiki/Hopkinson_effect	Hopkinson effect	0
/wiki/Infinite_derivative_gravity	Infinite derivative gravity	0
/wiki/Interface_(matter)	Interface (matter)	0
/wiki/Jahn–Teller_effect	Jahn–Teller effect	0
/wiki/Landolt–Börnstein	Landolt–Börnstein	0
/wiki/Large_deformation_diffeomorphic_metric_mapping	Large deformation diffeomorphic metric mapping	0
/wiki/Physical_law	Physical law	0
/wiki/Many-body_theory	Many-body theory	0
/wiki/Microfluidic_cell_culture	Microfluidic cell culture	0
/wiki/Nonlinear_frictiophoresis	Nonlinear frictiophoresis	0
/wiki/Normal_contact_stiffness	Normal contact stiffness	0
/wiki/Northwest_Nuclear_Consortium	Northwest Nuclear Consortium	0
/wiki/Parallel_force_system	Parallel force system	0
/wiki/Phase_stretch_transform	Phase stretch transform	0
/wiki/Plexciton	Plexciton	0
/wiki/Pseudo_Jahn–Teller_effect	Pseudo Jahn–Teller effect	0
/wiki/RAON	RAON	0
/wiki/Resistive_plate_chamber	Resistive plate chamber	0
/wiki/Riemannian_metric_and_Lie_bracket_in_computational_anatomy	Riemannian metric and Lie bracket in computational anatomy	0
/wiki/Rogue_wave	Rogue wave	0
/wiki/Self-propulsion	Self-propulsion	0
/wiki/Silicon_nanowire	Silicon nanowire	0
/wiki/Solid_light	Solid light	0
/wiki/Solid-state_physics	Solid-state physics	0
/wiki/Statistical_mechanics	Statistical mechanics	0
/wiki/Stochastic_thermodynamics	Stochastic thermodynamics	0
/wiki/Straw_tracker	Straw tracker	0
/wiki/Total_position_spread	Total position spread	0
/wiki/Transparent_wood_composites	Transparent wood composites	0
/wiki/Verwey_transition	Verwey transition	0
/wiki/Weak_gravity_conjecture	Weak gravity conjecture	0
/wiki/Wigner_rotation	Wigner rotation	0
/wiki/User:Wiki_flyingegg	User:Wiki flyingegg	0
/wiki/Williams_spray_equation	Williams spray equation	0
/wiki/Ned_Wingreen	Ned Wingreen	0
/wiki/Zero-point_energy	Zero-point energy	0
/wiki/4D_vector	4D vector	1
/wiki/Active_and_passive_transformation	Active and passive transformation	1
/wiki/Ansatz	Ansatz	1
/wiki/Araki–Sucher_correction	Araki–Sucher correction	1
/wiki/Arrow_of_time	Arrow of time	1
/wiki/Asymptotic_safety_in_quantum_gravity	Asymptotic safety in quantum gravity	1
/wiki/Bell's_theorem	Bell's theorem	1
/wiki/Boltzmann's_entropy_formula	Boltzmann's entropy formula	1
/wiki/Born_reciprocity	Born reciprocity	1
/wiki/Bose–Einstein_statistics	Bose–Einstein statistics	1
/wiki/Brownian_ratchet	Brownian ratchet	1
/wiki/Canonical_transformation	Canonical transformation	1
/wiki/Capacitance	Capacitance	1
/wiki/Capstan_equation	Capstan equation	1
/wiki/Cauchy_momentum_equation	Cauchy momentum equation	1
/wiki/Causality	Causality	1
/wiki/Causality_(physics)	Causality (physics)	1
/wiki/Cherenkov_radiation	Cherenkov radiation	1
/wiki/Classical_fluid	Classical fluid	1
/wiki/Classical_limit	Classical limit	1
/wiki/Classical_mechanics	Classical mechanics	1
/wiki/Clausius–Mossotti_relation	Clausius–Mossotti relation	1
/wiki/Clockwise	Clockwise	1
/wiki/Closed_system	Closed system	1
/wiki/Coherence_(physics)	Coherence (physics)	1
/wiki/Coherent_turbulent_structure	Coherent turbulent structure	1
/wiki/Commutative_property	Commutative property	1
/wiki/Composite_Higgs_models	Composite Higgs models	1
/wiki/Time_crystal	Time crystal	1
/wiki/Conservation_law	Conservation law	1
/wiki/Contracted_Bianchi_identities	Contracted Bianchi identities	1
/wiki/Convection	Convection	1
/wiki/Cooper_pair	Cooper pair	1
/wiki/Copenhagen_interpretation	Copenhagen interpretation	1
/wiki/Coulomb_gap	Coulomb gap	1
/wiki/Covariance_group	Covariance group	1
/wiki/Covariance_principle	Covariance principle	1
/wiki/Covariant_formulation_of_classical_electromagnetism	Covariant formulation of classical electromagnetism	1
/wiki/Cross_section_(physics)	Cross section (physics)	1
/wiki/Current_density	Current density	1
/wiki/Darwin_Lagrangian	Darwin Lagrangian	1
/wiki/Degenerate_semiconductor	Degenerate semiconductor	1
/wiki/Degrees_of_freedom_(physics_and_chemistry)	Degrees of freedom (physics and chemistry)	1
/wiki/Density_of_states	Density of states	1
/wiki/Diffraction	Diffraction	1
/wiki/Diffraction_formalism	Diffraction formalism	1
/wiki/Dimension	Dimension	1
/wiki/Discrete_spectrum	Discrete spectrum	1
/wiki/Dispersion_relation	Dispersion relation	1
/wiki/Einstein's_thought_experiments	Einstein's thought experiments	1
/wiki/Elastance	Elastance	1
/wiki/Electromagnet	Electromagnet	1
/wiki/Electromagnetic_induction	Electromagnetic induction	1
/wiki/Electron_equivalent	Electron equivalent	1
/wiki/Electronic_entropy	Electronic entropy	1
/wiki/Electrostatics	Electrostatics	1
/wiki/Elementary_particle	Elementary particle	1
/wiki/Emission_spectrum	Emission spectrum	1
/wiki/Empty_lattice_approximation	Empty lattice approximation	1
/wiki/Enthalpy	Enthalpy	1
/wiki/Entropy	Entropy	1
